Wave (nm),7-Aug,4-Sep-05
1217,0.06908,0.0652
1218,0.06936,0.06533
1219,0.06966,0.06547
1220,0.06985,0.06554
1221,0.07011,0.06567
1222,0.07028,0.06575
1223,0.07048,0.06586
1224,0.07062,0.06589
1225,0.07084,0.06599
1226,0.07101,0.06611
1227,0.07124,0.06628
1228,0.07144,0.06636
1229,0.07167,0.06647
1230,0.07186,0.0665
1231,0.07204,0.06652
1232,0.07219,0.06654
1233,0.07228,0.0665
1234,0.07232,0.06645
1235,0.07236,0.06639
1236,0.07234,0.06626
1237,0.07227,0.06607
1238,0.07221,0.06591
1239,0.07207,0.06567
1240,0.07197,0.06547
1241,0.07181,0.0652
1242,0.07164,0.0649
1243,0.07141,0.06451
1244,0.07123,0.06413
1245,0.07103,0.06371
1246,0.07075,0.06324
1247,0.07047,0.06279
1248,0.07012,0.06226
1249,0.06979,0.06171
1250,0.06935,0.06104
1251,0.0689,0.06031
1252,0.06834,0.05948
1253,0.06769,0.05854
1254,0.067,0.05756
1255,0.06617,0.05637
1256,0.0653,0.05514
1257,0.06439,0.05386
1258,0.06341,0.05252
1259,0.06237,0.05109
1260,0.06131,0.04963
1261,0.0603,0.04832
1262,0.05935,0.04706
1263,0.05862,0.0461
1264,0.05796,0.0452
1265,0.0575,0.04469
1266,0.0571,0.04426
1267,0.057,0.04424
1268,0.05704,0.04436
1269,0.05737,0.04487
1270,0.05786,0.04557
1271,0.05843,0.04648
1272,0.05908,0.04753
1273,0.05975,0.04866
1274,0.06034,0.04977
1275,0.06097,0.05094
1276,0.06159,0.05212
1277,0.06213,0.05322
1278,0.06256,0.05419
1279,0.06294,0.05509
1280,0.06312,0.05576
1281,0.06333,0.05641
1282,0.06352,0.05692
1283,0.06375,0.05747
1284,0.06385,0.05792
1285,0.06398,0.05838
1286,0.06396,0.05862
1287,0.06394,0.05887
1288,0.06386,0.05901
1289,0.0637,0.05909
1290,0.0635,0.05911
1291,0.06324,0.05908
1292,0.0629,0.05895
1293,0.06249,0.05875
1294,0.06193,0.05841
1295,0.06134,0.05804
1296,0.06075,0.05773
1297,0.06009,0.05735
1298,0.0594,0.0569
1299,0.05868,0.0564
1300,0.05792,0.05586
1301,0.05717,0.05533
1302,0.05631,0.05469
1303,0.05546,0.05408
1304,0.05458,0.05341
1305,0.05371,0.05275
1306,0.05281,0.05206
1307,0.05197,0.05142
1308,0.05106,0.05069
1309,0.05017,0.04995
1310,0.04927,0.0492
1311,0.04843,0.04851
1312,0.04757,0.04782
1313,0.04675,0.0472
1314,0.04603,0.04661
1315,0.04533,0.046
1316,0.04466,0.04544
1317,0.04397,0.04491
1318,0.04328,0.04437
1319,0.04245,0.04369
1320,0.0416,0.04299
1321,0.04063,0.04221
1322,0.03964,0.0414
1323,0.03848,0.04045
1324,0.03733,0.03952
1325,0.036,0.03842
1326,0.03468,0.03736
1327,0.03331,0.03627
1328,0.03199,0.03521
1329,0.0308,0.03423
1330,0.02962,0.03325
1331,0.02877,0.03252
1332,0.02792,0.03179
1333,0.0273,0.03133
1334,0.02666,0.03082
1335,0.026,0.03036
1336,0.02532,0.02986
1337,0.02446,0.02915
1338,0.02359,0.02842
1339,0.02242,0.0274
1340,0.02121,0.02636
1341,0.01964,0.02488
1342,0.01801,0.02333
1343,0.01612,0.02145
1344,0.01421,0.01955
1345,0.01227,0.0174
1346,0.01036,0.01523
1347,0.00862,0.01317
1348,0.00697,0.01119
1349,0.00554,0.00933
1350,0.00424,0.00756
1351,0.0032,0.00606
1352,0.00233,0.00473
1353,0.00167,0.00362
1354,0.00116,0.00267
1355,7.80E-04,0.00195
1356,4.97E-04,0.00142
1357,2.98E-04,9.95E-04
1358,1.82E-04,6.69E-04
1359,1.01E-04,4.35E-04
1360,5.82E-05,3.00E-04
1361,2.28E-05,2.01E-04
1362,2.45E-06,1.47E-04
1363,0,9.80E-05
1364,0,6.47E-05
1365,0,4.61E-05
1366,0,5.35E-05
1367,0,5.81E-05
1368,0,5.61E-05
1369,0,6.76E-05
1370,2.53E-06,9.26E-05
1371,7.42E-06,1.20E-04
1372,1.23E-05,1.60E-04
1373,1.68E-05,1.89E-04
1374,3.55E-06,1.68E-04
1375,0,1.50E-04
1376,0,1.49E-04
1377,1.30E-06,1.48E-04
1378,3.87E-06,1.23E-04
1379,8.51E-06,1.00E-04
1380,5.72E-07,1.44E-04
1381,0,1.88E-04
1382,0,2.28E-04
1383,0,2.67E-04
1384,0,3.06E-04
1385,5.04E-08,3.45E-04
1386,3.77E-06,3.47E-04
1387,8.94E-06,3.48E-04
1388,9.68E-06,3.78E-04
1389,2.28E-05,4.09E-04
1390,2.51E-05,4.47E-04
1391,3.48E-05,4.84E-04
1392,2.69E-05,5.38E-04
1393,1.74E-05,5.95E-04
1394,2.34E-05,6.21E-04
1395,3.25E-05,6.41E-04
1396,3.91E-05,6.75E-04
1397,4.80E-05,7.12E-04
1398,5.31E-05,7.65E-04
1399,5.74E-05,8.25E-04
1400,6.03E-05,8.67E-04
1401,6.27E-05,9.04E-04
1402,7.22E-05,9.89E-04
1403,8.47E-05,0.00109
1404,1.06E-04,0.00119
1405,1.31E-04,0.0013
1406,1.57E-04,0.00142
1407,1.84E-04,0.00155
1408,2.26E-04,0.00173
1409,2.76E-04,0.00194
1410,3.19E-04,0.00214
1411,3.57E-04,0.00234
1412,4.08E-04,0.00257
1413,4.68E-04,0.00282
1414,5.23E-04,0.00309
1415,5.77E-04,0.00336
1416,6.37E-04,0.00363
1417,7.04E-04,0.00389
1418,7.73E-04,0.00414
1419,8.41E-04,0.00438
1420,9.21E-04,0.00464
1421,0.00102,0.00491
1422,0.0011,0.00515
1423,0.00119,0.00537
1424,0.00126,0.00556
1425,0.00132,0.00573
1426,0.00138,0.00587
1427,0.00144,0.00595
1428,0.00149,0.00602
1429,0.00152,0.00604
1430,0.00154,0.00604
1431,0.00155,0.00599
1432,0.00155,0.00595
1433,0.00155,0.00592
1434,0.00155,0.00592
1435,0.00155,0.00595
1436,0.00156,0.00599
1437,0.00158,0.00603
1438,0.0016,0.00611
1439,0.00164,0.00628
1440,0.00169,0.00646
1441,0.00177,0.00669
1442,0.00186,0.00691
1443,0.00197,0.00715
1444,0.00208,0.0074
1445,0.00221,0.00773
1446,0.00235,0.00806
1447,0.00251,0.00845
1448,0.00268,0.00883
1449,0.00288,0.00922
1450,0.00308,0.00961
1451,0.00331,0.01008
1452,0.00354,0.01055
1453,0.00376,0.01109
1454,0.00397,0.01161
1455,0.00416,0.01197
1456,0.00434,0.01231
1457,0.00444,0.0125
1458,0.00453,0.01267
1459,0.00452,0.0126
